Running convertNumbers.py with all test cases...

========================================
Running with: TC1.txt
========================================
Decimal | Binary | Hexadecimal
----------------------------------------
     82 |              1010010 |           52
    100 |              1100100 |           64
     93 |              1011101 |           5D
     65 |              1000001 |           41
     58 |               111010 |           3A
     51 |               110011 |           33
     67 |              1000011 |           43
     75 |              1001011 |           4B
     10 |                 1010 |            A
     93 |              1011101 |           5D
     29 |                11101 |           1D
     86 |              1010110 |           56
    100 |              1100100 |           64
     21 |                10101 |           15
     40 |               101000 |           28
     90 |              1011010 |           5A
      1 |                    1 |            1
    100 |              1100100 |           64
      0 |                    0 |            0
     74 |              1001010 |           4A
     72 |              1001000 |           48
     13 |                 1101 |            D
     37 |               100101 |           25
     66 |              1000010 |           42
     29 |                11101 |           1D
     22 |                10110 |           16
     61 |               111101 |           3D
     38 |               100110 |           26
     67 |              1000011 |           43
     74 |              1001010 |           4A
     89 |              1011001 |           59
     77 |              1001101 |           4D
     85 |              1010101 |           55
     93 |              1011101 |           5D
     54 |               110110 |           36
     43 |               101011 |           2B
     75 |              1001011 |           4B
     36 |               100100 |           24
     85 |              1010101 |           55
      8 |                 1000 |            8
     86 |              1010110 |           56
      1 |                    1 |            1
     80 |              1010000 |           50
     17 |                10001 |           11
     94 |              1011110 |           5E
      7 |                  111 |            7
     94 |              1011110 |           5E
     95 |              1011111 |           5F
     90 |              1011010 |           5A
     74 |              1001010 |           4A
     48 |               110000 |           30
     41 |               101001 |           29
     85 |              1010101 |           55
     35 |               100011 |           23
      1 |                    1 |            1
     13 |                 1101 |            D
     40 |               101000 |           28
     52 |               110100 |           34
     95 |              1011111 |           5F
     25 |                11001 |           19
     54 |               110110 |           36
     55 |               110111 |           37
     54 |               110110 |           36
     70 |              1000110 |           46
     61 |               111101 |           3D
     22 |                10110 |           16
     76 |              1001100 |           4C
     85 |              1010101 |           55
     52 |               110100 |           34
     87 |              1010111 |           57
     54 |               110110 |           36
     78 |              1001110 |           4E
     45 |               101101 |           2D
     62 |               111110 |           3E
     57 |               111001 |           39
     85 |              1010101 |           55
     17 |                10001 |           11
     52 |               110100 |           34
     33 |               100001 |           21
     57 |               111001 |           39
     23 |                10111 |           17
     80 |              1010000 |           50
     70 |              1000110 |           46
     58 |               111010 |           3A
     75 |              1001011 |           4B
     24 |                11000 |           18
     23 |                10111 |           17
     32 |               100000 |           20
     95 |              1011111 |           5F
     75 |              1001011 |           4B
     86 |              1010110 |           56
     47 |               101111 |           2F
     48 |               110000 |           30
     88 |              1011000 |           58
     78 |              1001110 |           4E
     74 |              1001010 |           4A
     51 |               110011 |           33
     71 |              1000111 |           47
     48 |               110000 |           30
     75 |              1001011 |           4B
      2 |                   10 |            2
     27 |                11011 |           1B
     81 |              1010001 |           51
     96 |              1100000 |           60
     50 |               110010 |           32
     77 |              1001101 |           4D
     75 |              1001011 |           4B
     80 |              1010000 |           50
      8 |                 1000 |            8
      6 |                  110 |            6
     33 |               100001 |           21
      0 |                    0 |            0
     69 |              1000101 |           45
     77 |              1001101 |           4D
     60 |               111100 |           3C
     87 |              1010111 |           57
     84 |              1010100 |           54
     71 |              1000111 |           47
     51 |               110011 |           33
     52 |               110100 |           34
      9 |                 1001 |            9
     37 |               100101 |           25
     61 |               111101 |           3D
     36 |               100100 |           24
     61 |               111101 |           3D
     74 |              1001010 |           4A
     42 |               101010 |           2A
      5 |                  101 |            5
